KO,Description,Functional_Hier_A,Functional_Hier_B,Functional_Hier_C
K09027,XBP1; X box-binding protein 1,Eukaryotic type,Basic leucine zipper (bZIP),"AP-1(-like) components, Jun"
K20540,"cepR2; LuxR family transcriptional regulator, quorum-sensing system regulator CepR2",Prokaryotic type,Helix-turn-helix,LuxR family
K19731,"cciR; LuxR family transcriptional regulator, quorum-sensing system regulator CciR",Prokaryotic type,Helix-turn-helix,LuxR family
K19732,"traR; LuxR family transcriptional regulator, activator of conjugal transfer of Ti plasmids",Prokaryotic type,Helix-turn-helix,LuxR family
K19733,"sinR, avsR; LuxR family transcriptional regulator, quorum-sensing system regulator SinR",Prokaryotic type,Helix-turn-helix,LuxR family
K19734,"expR; LuxR family transcriptional regulator, quorum-sensing system regulator ExpR",Prokaryotic type,Helix-turn-helix,LuxR family
K20252,"cinR; LuxR family transcriptional regulator, quorum-sensing system regulator CinR",Prokaryotic type,Helix-turn-helix,LuxR family
K20253,"bisR; LuxR family transcriptional regulator, quorum-sensing system regulator BisR",Prokaryotic type,Helix-turn-helix,LuxR family
K21697,"vjbR; LuxR family transcriptional regulator, quorum-sensing system regulator VjbR",Prokaryotic type,Helix-turn-helix,LuxR family
K21963,"ecpR, matA; LuxR family transcriptional regulator, Mat/Ecp fimbriae transcriptional regulator",Prokaryotic type,Helix-turn-helix,LuxR family
K25873,"raiR; LuxR family transcriptional regulator, quorum-sensing system regulator RaiR",Prokaryotic type,Helix-turn-helix,LuxR family
K07781,"rcsA; LuxR family transcriptional regulator, capsular biosynthesis positive transcription factor",Prokaryotic type,Helix-turn-helix,LuxR family
K04333,"csgD; LuxR family transcriptional regulator, csgAB operon transcriptional regulatory protein",Prokaryotic type,Helix-turn-helix,LuxR family
K01994,"gerE; LuxR family transcriptional regulator, transcriptional regulator of spore coat protein",Prokaryotic type,Helix-turn-helix,LuxR family
K20330,"toxJ; LuxR family transcriptional regulator, activator of tox operons",Prokaryotic type,Helix-turn-helix,LuxR family
K20334,"cviR; LuxR family transcriptional regulator, quorum-sensing system regulator CviR",Prokaryotic type,Helix-turn-helix,LuxR family
K20918,"vpsT; LuxR family transcriptional regulator, positive regulator of biofilm formation",Prokaryotic type,Helix-turn-helix,LuxR family
K21685,"ramA; LuxR family transcriptional regulator, regulator of acetate metabolism",Prokaryotic type,Helix-turn-helix,LuxR family
K21901,"dctR; LuxR family transcriptional regulator, dicarboxylate transport regulator",Prokaryotic type,Helix-turn-helix,LuxR family
K22650,"bglJ; LuxR family transcriptional regulator, regulator of transport and utilization of aryl beta-glucosides",Prokaryotic type,Helix-turn-helix,LuxR family
K24912,"ramR, amfR; LuxR family transcriptional regulator, transcriptional activator for aerial hyphae formation",Prokaryotic type,Helix-turn-helix,LuxR family
K03556,"malT; LuxR family transcriptional regulator, maltose regulon positive regulatory protein",Prokaryotic type,Helix-turn-helix,LuxR family
K21748,"alkS; LuxR family transcriptional regulator, alkane degradation pathway regulator",Prokaryotic type,Helix-turn-helix,LuxR family
K16247,"gutR; LuxR family transcriptional regulator, glucitol operon activator",Prokaryotic type,Helix-turn-helix,LuxR family
K21907,"gadE; LuxR family transcriptional regulator, glutamate-dependent acid resistance regulator",Prokaryotic type,Helix-turn-helix,LuxR family
K03712,"marR; MarR family transcriptional regulator, multiple antibiotic resistance protein MarR",Prokaryotic type,Helix-turn-helix,MarR family
K06075,"slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin",Prokaryotic type,Helix-turn-helix,MarR family
K09682,"hpr; MarR family transcriptional regulator, protease production regulatory protein HPr",Prokaryotic type,Helix-turn-helix,MarR family
K15973,"mhqR; MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor",Prokaryotic type,Helix-turn-helix,MarR family
K15974,"emrR, mprA; MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB",Prokaryotic type,Helix-turn-helix,MarR family
K18131,"mexR; MarR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon",Prokaryotic type,Helix-turn-helix,MarR family
K18906,"mgrA; MarR family transcriptional regulator, multiple gene regulator MgrA",Prokaryotic type,Helix-turn-helix,MarR family
K18909,"mepR; MarR family transcriptional regulator, repressor for mepA",Prokaryotic type,Helix-turn-helix,MarR family
K20338,"rot; MarR family transcriptional regulator, global regulator for virulence",Prokaryotic type,Helix-turn-helix,MarR family
K21454,"tcaR; MarR family transcriptional regulator, teicoplanin-associated locus regulator",Prokaryotic type,Helix-turn-helix,MarR family
K22296,"nicR; MarR family transcriptional regulator, lower aerobic nicotinate degradation pathway regulator",Prokaryotic type,Helix-turn-helix,MarR family
K22489,"hosA; MarR family transcriptional regulator, temperature-dependent positive regulator of motility",Prokaryotic type,Helix-turn-helix,MarR family
K23775,"ohrR; MarR family transcriptional regulator, organic hydroperoxide resistance regulator",Prokaryotic type,Helix-turn-helix,MarR family
K25883,"expG, wggR; MarR family transcriptional regulator, exopolysaccharide II synthesis transcriptional activator",Prokaryotic type,Helix-turn-helix,MarR family
K03713,"glnR; MerR family transcriptional regulator, glutamine synthetase repressor",Prokaryotic type,Helix-turn-helix,MerR family
K08365,"merR; MerR family transcriptional regulator, mercuric resistance operon regulatory protein",Prokaryotic type,Helix-turn-helix,MerR family
K19057,"merD; MerR family transcriptional regulator, mercuric resistance operon regulatory protein",Prokaryotic type,Helix-turn-helix,MerR family
K19591,"cueR; MerR family transcriptional regulator, copper efflux regulator",Prokaryotic type,Helix-turn-helix,MerR family
K11923,"cueR; MerR family transcriptional regulator, copper efflux regulator",Prokaryotic type,Helix-turn-helix,MerR family
K13638,"zntR; MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA",Prokaryotic type,Helix-turn-helix,MerR family
K13639,"soxR; MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR",Prokaryotic type,Helix-turn-helix,MerR family
K13640,"hspR; MerR family transcriptional regulator, heat shock protein HspR",Prokaryotic type,Helix-turn-helix,MerR family
K19575,"bmrR; MerR family transcriptional regulator, activator of bmr gene",Prokaryotic type,Helix-turn-helix,MerR family
K19592,"golS; MerR family transcriptional regulator, gold-responsive activator of gol and ges genes",Prokaryotic type,Helix-turn-helix,MerR family
K21089,"mlrA; MerR family transcriptional regulator, activator of the csg genes",Prokaryotic type,Helix-turn-helix,MerR family
K21743,"mta; MerR family transcriptional regulator, multidrug-efflux activator",Prokaryotic type,Helix-turn-helix,MerR family
K21744,"tipA; MerR family transcriptional regulator, thiopeptide resistance regulator",Prokaryotic type,Helix-turn-helix,MerR family
K21745,"adhR; MerR family transcriptional regulator, aldehyde-responsive regulator",Prokaryotic type,Helix-turn-helix,MerR family
K21972,"bluR; MerR family transcriptional regulator, repressor of blue light- and temperature-responsive genes",Prokaryotic type,Helix-turn-helix,MerR family
K22491,"litR; MerR family transcriptional regulator, light-induced transcriptional regulator",Prokaryotic type,Helix-turn-helix,MerR family
K23776,"tnrA; MerR family transcriptional regulator, global nitrogen regulator",Prokaryotic type,Helix-turn-helix,MerR family
K21902,"yfmP; MerR family transcriptional regulator, repressor of the yfmOP operon",Prokaryotic type,Helix-turn-helix,MerR family
K03711,"fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator",Prokaryotic type,Helix-turn-helix,Fur family
K22297,"furA; Fur family transcriptional regulator, stress-responsive regulator",Prokaryotic type,Helix-turn-helix,Fur family
K09823,"zur; Fur family transcriptional regulator, zinc uptake regulator",Prokaryotic type,Helix-turn-helix,Fur family
K02076,"zurR, zur; Fur family transcriptional regulator, zinc uptake regulator",Prokaryotic type,Helix-turn-helix,Fur family
K09825,"perR; Fur family transcriptional regulator, peroxide stress response regulator",Prokaryotic type,Helix-turn-helix,Fur family
K09826,"irr; Fur family transcriptional regulator, iron response regulator",Prokaryotic type,Helix-turn-helix,Fur family
K13641,"iclR; IclR family transcriptional regulator, acetate operon repressor",Prokaryotic type,Helix-turn-helix,IclR family
K02624,"pcaR; IclR family transcriptional regulator, pca regulon regulatory protein",Prokaryotic type,Helix-turn-helix,IclR family
K05818,"mhpR; IclR family transcriptional regulator, mhp operon transcriptional activator",Prokaryotic type,Helix-turn-helix,IclR family
K10973,"allR; IclR family transcriptional regulator, negative regulator of allantoin and glyoxylate utilization operons",Prokaryotic type,Helix-turn-helix,IclR family
K19333,"kdgR; IclR family transcriptional regulator, KDG regulon repressor",Prokaryotic type,Helix-turn-helix,IclR family
K20329,"qsmR; IclR family transcriptional regulator, positive regulator for flagellar biogenesis",Prokaryotic type,Helix-turn-helix,IclR family
K20539,"blcR; IclR family transcriptional regulator, blcABC operon repressor",Prokaryotic type,Helix-turn-helix,IclR family
K21602,"yiaJ; IclR family transcriptional regulator, carbohydrate utilization repressor",Prokaryotic type,Helix-turn-helix,IclR family
K21827,"arcR; IclR family transcriptional regulator, arginine deiminase pathway regulator",Prokaryotic type,Helix-turn-helix,IclR family
K10914,"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K01420,"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K13642,"ftrB; CRP/FNR family transcriptional regulator, transcriptional activator FtrB",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K15861,"fixK; CRP/FNR family transcriptional regulator, nitrogen fixation regulation protein",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21555,"cooA; CRP/FNR family transcriptional regulator, carbon monoxide oxidation system transcription regulator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21556,"malR; CRP/FNR family transcriptional regulator, polysaccharide utilization system transcription regulator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21558,"cprK; CRP/FNR family transcriptional regulator, reductive dehalogenation system regulator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21560,"prfA; CRP/FNR family transcriptional regulator, listeriolysin regulatory protein",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21561,"ntcA; CRP/FNR family transcriptional regulator, global nitrogen regulator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21562,"flp; CRP/FNR family transcriptional regulator, anaerobic regulatory protein",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21563,"dnr; CRP/FNR family transcriptional regulator, dissimilatory nitrate respiration regulator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21564,"nnrR; CRP/FNR family transcriptional regulator, nitrogen oxide reductase regulator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21828,"arcR; CRP/FNR family transcriptional regulator, arginine deiminase pathway regulator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K21884,"cmr; CRP/FNR family transcriptional regulator, cAMP and macrophage regulator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K22490,"ldrP; CRP/FNR family transcriptional regulator, LitR-dependent transcriptional activator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K16326,"yeiL; CRP/FNR family transcriptional regulator, putaive post-exponential-phase nitrogen-starvation regulator",Prokaryotic type,Helix-turn-helix,CRP/FNR family
K13643,"iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor",Prokaryotic type,Helix-turn-helix,Rrf2 family
K13771,"nsrR; Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor",Prokaryotic type,Helix-turn-helix,Rrf2 family
K13772,"rirA; Rrf2 family transcriptional regulator, iron-responsive regulator",Prokaryotic type,Helix-turn-helix,Rrf2 family
K17472,"cymR; Rrf2 family transcriptional regulator, cysteine metabolism repressor",Prokaryotic type,Helix-turn-helix,Rrf2 family
K19587,"oqxR; Rrf2 family transcriptional regulator, repressor of oqxAB",Prokaryotic type,Helix-turn-helix,Rrf2 family
K03892,"arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor",Prokaryotic type,Helix-turn-helix,ArsR family
K23988,"arsR-arsC; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor / arsenate reductase (thioredoxin) [EC:1.20.4.4]",Prokaryotic type,Helix-turn-helix,ArsR family
K21885,"cmtR; ArsR family transcriptional regulator, cadmium/lead-responsive transcriptional repressor",Prokaryotic type,Helix-turn-helix,ArsR family
K21886,"nmtR; ArsR family transcriptional regulator, nickel/cobalt-responsive transcriptional repressor",Prokaryotic type,Helix-turn-helix,ArsR family
K21903,"cadC, smtB; ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor",Prokaryotic type,Helix-turn-helix,ArsR family
K22043,"czrA; ArsR family transcriptional regulator, zinc-responsive transcriptional repressor",Prokaryotic type,Helix-turn-helix,ArsR family
K22298,"smtB; ArsR family transcriptional regulator, zinc-responsive transcriptional repressor",Prokaryotic type,Helix-turn-helix,ArsR family
K22042,"hlyU; ArsR family transcriptional regulator, virulence genes transcriptional regulator",Prokaryotic type,Helix-turn-helix,ArsR family
K26993,"sdpR; ArsR family transcriptional regulator, repressor of sdpIR and other operons",Prokaryotic type,Helix-turn-helix,ArsR family
K07721,K07721; ArsR family transcriptional regulator,Prokaryotic type,Helix-turn-helix,ArsR family
K15546,"boxR, bzdR; XRE family transcriptional regulator, aerobic/anaerobic benzoate catabolism transcriptional regulator",Prokaryotic type,Helix-turn-helix,XRE family
K19449,"sinR; XRE family transcriptional regulator, master regulator for biofilm formation",Prokaryotic type,Helix-turn-helix,XRE family
K21686,"prpR; XRE family transcriptional regulator, fatty acid utilization regulator",Prokaryotic type,Helix-turn-helix,XRE family
K07110,"ramB; XRE family transcriptional regulator, fatty acid utilization regulator",Prokaryotic type,Helix-turn-helix,XRE family
K22206,"thiR; XRE family transcriptional regulator, thiamine biosynthesis regulator",Prokaryotic type,Helix-turn-helix,XRE family
K23779,"sutR; XRE family transcriptional regulator, regulator of sulfur utilization",Prokaryotic type,Helix-turn-helix,XRE family
K19417,"slrR; XRE family transcriptional regulator, biofilm formation regulator",Prokaryotic type,Helix-turn-helix,XRE family
K27043,"clgR; XRE family transcriptional regulator, stress-response regulator",Prokaryotic type,Helix-turn-helix,XRE family
K26739,"padR; PadR family transcriptional regulator, phenolic acid-responsive transcriptional regulator",Prokaryotic type,Helix-turn-helix,PadR family
K10917,"aphA; PadR family transcriptional regulator, regulatory protein AphA",Prokaryotic type,Helix-turn-helix,PadR family
K26740,"vanR; PadR family transcriptional regulator, regulator of vanillate utilization",Prokaryotic type,Helix-turn-helix,PadR family
K26741,"ladR; PadR family transcriptional regulator, multidrug transcriptional repressor LadR",Prokaryotic type,Helix-turn-helix,PadR family
K26742,"lmrR; PadR family transcriptional regulator, multidrug transcriptional repressor LmrR",Prokaryotic type,Helix-turn-helix,PadR family
K26743,"pex; PadR family transcriptional regulator, circadian period extender",Prokaryotic type,Helix-turn-helix,PadR family
K23305,"gvpE; PadR family transcriptional regulator, activator of gas vesicle formation",Prokaryotic type,Helix-turn-helix,PadR family
K10947,K10947; PadR family transcriptional regulator,Prokaryotic type,Helix-turn-helix,PadR family
K26252,"dtxR, ideR; DtxR family transcriptional regulator, iron-dependent repressor",Prokaryotic type,Helix-turn-helix,Other families
K03709,"troR, sirR, scaR, mntR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator",Prokaryotic type,Helix-turn-helix,Other families
K11924,"mntR; DtxR family transcriptional regulator, manganese transport regulator",Prokaryotic type,Helix-turn-helix,Other families
K23238,"rpiR, alsR; RpiR family transcriptional regulator, repressor of rpiB and als operon",Prokaryotic type,Helix-turn-helix,Other families
K03481,"glvR; RpiR family transcriptional regulator, glv operon transcriptional regulator",Prokaryotic type,Helix-turn-helix,Other families
K15835,"murR; RpiR family transcriptional regulator, murPQ operon repressor",Prokaryotic type,Helix-turn-helix,Other families
K19337,"hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator",Prokaryotic type,Helix-turn-helix,Other families
K02171,"blaI; BlaI family transcriptional regulator, penicillinase repressor",Prokaryotic type,Helix-turn-helix,Other families
K02546,"mecI; BlaI family transcriptional regulator, methicillin resistance regulatory protein",Prokaryotic type,Helix-turn-helix,Other families
K03524,"birA; BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]",Prokaryotic type,Helix-turn-helix,Other families
K03557,"fis; Fis family transcriptional regulator, factor for inversion stimulation protein",Prokaryotic type,Helix-turn-helix,Other families
K03720,"trpR; TrpR family transcriptional regulator, trp operon repressor",Prokaryotic type,Helix-turn-helix,Other families
K02688,"prpR; transcriptional regulator, propionate catabolism operon regulatory protein",Prokaryotic type,Helix-turn-helix,Other families
K07724,"ner, nlp, sfsB; Ner family transcriptional regulator",Prokaryotic type,Helix-turn-helix,Other families
K11925,sgrR; SgrR family transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K06211,"nadR; HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]",Prokaryotic type,Helix-turn-helix,Other families
K13655,mqsA; HTH-type transcriptional regulator / antitoxin MqsA,Prokaryotic type,Helix-turn-helix,Other families
K14056,"puuR; HTH-type transcriptional regulator, repressor for puuD",Prokaryotic type,Helix-turn-helix,Other families
K15773,hipB; HTH-type transcriptional regulator / antitoxin HipB,Prokaryotic type,Helix-turn-helix,Other families
K18830,pezA; HTH-type transcriptional regulator / antitoxin PezA,Prokaryotic type,Helix-turn-helix,Other families
K20480,"nprR, nprA; HTH-type transcriptional regulator, quorum sensing regulator NprR",Prokaryotic type,Helix-turn-helix,Other families
K20342,"comR; HTH-type transcriptional regulator, regulator for ComX",Prokaryotic type,Helix-turn-helix,Other families
K20373,"rgg2; HTH-type transcriptional regulator, SHP2-responsive activator",Prokaryotic type,Helix-turn-helix,Other families
K20374,"rgg3; HTH-type transcriptional regulator, SHP3-responsive repressor",Prokaryotic type,Helix-turn-helix,Other families
K22299,"rghR; HTH-type transcriptional regulator, competence development regulator",Prokaryotic type,Helix-turn-helix,Other families
K22300,"dicA; HTH-type transcriptional regulator, cell division transcriptional repressor",Prokaryotic type,Helix-turn-helix,Other families
K20391,"plcR; HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes",Prokaryotic type,Helix-turn-helix,Other families
K20375,"ropB, rgg1; HTH-type transcriptional regulator, pheromone-responsive regulator",Prokaryotic type,Helix-turn-helix,Other families
K20380,"traA; HTH-type transcriptional regulator, pheromone-responsive repressor",Prokaryotic type,Helix-turn-helix,Other families
K18831,higA; HTH-type transcriptional regulator / antitoxin HigA,Prokaryotic type,Helix-turn-helix,Other families
K20388,"cylR2; HTH-type transcriptional regulator, cytolysin regulator",Prokaryotic type,Helix-turn-helix,Other families
K20377,"prgX; HTH-type transcriptional regulator, major conjugation operon repressor",Prokaryotic type,Helix-turn-helix,Other families
K21557,"susR; HTH-type transcriptional regulator, polysaccharide utilization system transcription regulator",Prokaryotic type,Helix-turn-helix,Other families
K09720,"nrpRI; HTH-type transcriptional regulator, global nitrogen regulator NrpRI",Prokaryotic type,Helix-turn-helix,Other families
K22109,"gbsR; HTH-type transcriptional regulator, glycine betaine synthesis regulator",Prokaryotic type,Helix-turn-helix,Other families
K22301,"opcR; HTH-type transcriptional regulator, osmoprotectant uptake regulator",Prokaryotic type,Helix-turn-helix,Other families
K23356,"trmB; HTH-type transcriptional regulator, sugar sensing transcriptional regulator",Prokaryotic type,Helix-turn-helix,Other families
K06930,"bat; HTH-type transcriptional regulator, bacterioopsin transcriptional activator and related proteins",Prokaryotic type,Helix-turn-helix,Other families
K23348,"dmsR; HTH-type transcriptional regulator, dimethyl sulfoxide reductase transcription regulator",Prokaryotic type,Helix-turn-helix,Other families
K09714,"tfx; HTH-type transcriptional regulator, fmd operon transcriptional regulator",Prokaryotic type,Helix-turn-helix,Other families
K09685,"purR; HTH-type transcriptional regulator, purine operon repressor",Prokaryotic type,Helix-turn-helix,Other families
K26599,"gfcR; HTH-type transcriptional regulator, activator of D-glucose/D-fructose catabolism",Prokaryotic type,Helix-turn-helix,Other families
K10941,"flrA, fleQ, flaK; sigma-54 dependent transcriptional regulator, flagellar regulatory protein",Prokaryotic type,Helix-turn-helix,Other families
K18219,"txr; sigma-54 dependent transcriptional regulator, tetracycline resistant transcriptional regulator",Prokaryotic type,Helix-turn-helix,Other families
K20919,"vpsR, cpsR; sigma-54 dependent transcriptional regulator, positive regulator of biofilm formation",Prokaryotic type,Helix-turn-helix,Other families
K17473,"dgaR; sigma-54 dependent transcriptional regulator, dga operon transcriptional activator",Prokaryotic type,Helix-turn-helix,Other families
K19505,"gfrR; sigma-54 dependent transcriptional regulator, gfr operon transcriptional activator",Prokaryotic type,Helix-turn-helix,Other families
K21405,"acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR",Prokaryotic type,Helix-turn-helix,Other families
K11908,vasH; sigma-54 dependent transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K11917,sfa3; sigma-54 dependent transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K11914,sfa2; sigma-54 dependent transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K26990,rsoA; sigma-O factor regulatory protein RsoA,Prokaryotic type,Helix-turn-helix,Other families
K12146,hyfR; hydrogenase-4 transcriptional activator,Prokaryotic type,Helix-turn-helix,Other families
K12266,norR; anaerobic nitric oxide reductase transcription regulator,Prokaryotic type,Helix-turn-helix,Other families
K15836,fhlA; formate hydrogenlyase transcriptional activator,Prokaryotic type,Helix-turn-helix,Other families
K02584,nifA; Nif-specific regulatory protein,Prokaryotic type,Helix-turn-helix,Other families
K02647,cdaR; carbohydrate diacid regulator,Prokaryotic type,Helix-turn-helix,Other families
K06714,rocR; arginine utilization regulatory protein,Prokaryotic type,Helix-turn-helix,Other families
K02019,modE; molybdate transport system regulatory protein,Prokaryotic type,Helix-turn-helix,Other families
K01926,rex; redox-sensing transcriptional repressor,Prokaryotic type,Helix-turn-helix,Other families
K03706,codY; transcriptional pleiotropic repressor,Prokaryotic type,Helix-turn-helix,Other families
K17071,dcmR; transcriptional repressor of dcmA and dcmR,Prokaryotic type,Helix-turn-helix,Other families
K07725,csa3; CRISPR-associated protein Csa3,Prokaryotic type,Helix-turn-helix,Other families
K21829,dauR; D-arginine utilization repressor,Prokaryotic type,Helix-turn-helix,Other families
K27097,espR; ESX-1-secreted protein regulator,Prokaryotic type,Helix-turn-helix,Other families
K07726,K07726; putative transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K07727,K07727; putative transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K07728,K07728; putative transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K07729,K07729; putative transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K07730,K07730; putative transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K07731,K07731; putative transcriptional regulator,Prokaryotic type,Helix-turn-helix,Other families
K07722,"nikR; CopG family transcriptional regulator, nickel-responsive regulator",Prokaryotic type,Ribbon-helix-helix,CopG family
K07723,ndoAI; CopG family transcriptional regulator / antitoxin EndoAI,Prokaryotic type,Ribbon-helix-helix,CopG family
K03764,"metJ; MetJ family transcriptional regulator, methionine regulon repressor",Prokaryotic type,Ribbon-helix-helix,Other families
K13821,"putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]",Prokaryotic type,Ribbon-helix-helix,Other families
K18918,"relB; RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB",Prokaryotic type,Ribbon-helix-helix,Other families
K03488,"licT, bglG; beta-glucoside operon transcriptional antiterminator",Prokaryotic type,Other transcription factors,BglG family
K26931,sacY; levansucrase and sucrase synthesis operon transcriptional antiterminator,Prokaryotic type,Other transcription factors,BglG family
K26932,sacT; sacPA operon transcriptional antiterminator,Prokaryotic type,Other transcription factors,BglG family
K03480,glcT; transcriptional antiterminator,Prokaryotic type,Other transcription factors,BglG family
K03493,bglG1; transcriptional antiterminator,Prokaryotic type,Other transcription factors,BglG family
K03483,mtlR; mannitol operon transcriptional activator,Prokaryotic type,Other transcription factors,BglG family
K02538,manR; mannose operon transcriptional activator,Prokaryotic type,Other transcription factors,BglG family
K03491,licR; probable licABCH operon transcriptional regulator,Prokaryotic type,Other transcription factors,BglG family
K18531,frvR; putative frv operon regulatory protein,Prokaryotic type,Other transcription factors,BglG family
K22976,atxA; anthrax toxin expression trans-acting positive regulator,Prokaryotic type,Other transcription factors,BglG family
K22977,acpA; capsule synthesis positive regulator AcpA,Prokaryotic type,Other transcription factors,BglG family
K22980,acpB; capsule synthesis positive regulator AcpB,Prokaryotic type,Other transcription factors,BglG family
K18955,"whiB1_2_3_4; WhiB family transcriptional regulator, redox-sensing transcriptional regulator",Prokaryotic type,Other transcription factors,Others
K18956,"whiB5; WhiB family transcriptional regulator, redox-sensing transcriptional regulator",Prokaryotic type,Other transcription factors,Others
K18957,"whiB6; WhiB family transcriptional regulator, redox-sensing transcriptional regulator",Prokaryotic type,Other transcription factors,Others
K18958,"whiB7; WhiB family transcriptional regulator, redox-sensing transcriptional regulator",Prokaryotic type,Other transcription factors,Others
K19339,"nosR; NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator",Prokaryotic type,Other transcription factors,Others
K19343,"nirI; NosR/NirI family transcriptional regulator, nitrite reductase regulator",Prokaryotic type,Other transcription factors,Others
K21559,"cprC; NosR/NirI family transcriptional regulator, putative reductive dehalogenation system regulator",Prokaryotic type,Other transcription factors,Others
K23239,"frmR; FrmR/RcnR family transcriptional regulator, repressor of frmRAB operon",Prokaryotic type,Other transcription factors,Others
K23240,"rcnR; FrmR/RcnR family transcriptional regulator, repressor of rcnA expression",Prokaryotic type,Other transcription factors,Others
K21600,"csoR, ricR; CsoR family transcriptional regulator, copper-sensing transcriptional repressor",Prokaryotic type,Other transcription factors,Others
K09684,"pucR; PucR family transcriptional regulator, purine catabolism regulatory protein",Prokaryotic type,Other transcription factors,Others
K23253,"putR; PucR family transcriptional regulator, proline-responsive transcriptional activator",Prokaryotic type,Other transcription factors,Others
K06284,"abrB, abh; AbrB family transcriptional regulator, transcriptional pleiotropic regulator of transition state genes",Prokaryotic type,Other transcription factors,Others
K04769,"spoVT; AbrB family transcriptional regulator, stage V sporulation protein T",Prokaryotic type,Other transcription factors,Others
K21696,"rcoM; LytTR family transcriptional regulator, CO-responsive transcriptional regulator RcoM",Prokaryotic type,Other transcription factors,Others
K05527,"bolA; BolA family transcriptional regulator, general stress-responsive regulator",Prokaryotic type,Other transcription factors,Others
K22894,"embR; SARP family transcriptional regulator, regulator of embCAB operon",Prokaryotic type,Other transcription factors,Others
K03497,"parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein",Prokaryotic type,Other transcription factors,Others
K23371,"sbnI; L-serine kinase (ATP) / ParB family transcriptional regulator, heme-responsive regulator [EC:2.7.1.225]",Prokaryotic type,Other transcription factors,Others
K07736,"carD; CarD family transcriptional regulator, regulator of rRNA transcription",Prokaryotic type,Other transcription factors,Others
K25884,"mucR, rosR; MucR family transcriptional regulator, transcriptional regulator of exopolysaccharide biosynthesis",Prokaryotic type,Other transcription factors,Others
K02443,glpP; glycerol uptake operon antiterminator,Prokaryotic type,Other transcription factors,Others
K02531,lacT; transcriptional antiterminator,Prokaryotic type,Other transcription factors,Others
K05785,rfaH; transcriptional antiterminator RfaH,Prokaryotic type,Other transcription factors,Others
K03402,"argR, ahrC; transcriptional regulator of arginine metabolism",Prokaryotic type,Other transcription factors,Others
K02565,nagC; N-acetylglucosamine repressor,Prokaryotic type,Other transcription factors,Others
K15545,mlc; transcriptional regulator of PTS gene,Prokaryotic type,Other transcription factors,Others
K02562,mtlR; mannitol operon repressor,Prokaryotic type,Other transcription factors,Others
